n,prime.pair.count
4,1
6,1
8,1
10,2
12,1
14,2
16,2
18,2
20,2
22,3
24,3
26,3
28,2
30,3
32,2
34,4
36,4
38,2
40,3
42,4
44,3
46,4
48,5
50,4
52,3
54,5
56,3
58,4
60,6
62,3
64,5
66,6
68,2
70,5
72,6
74,5
76,5
78,7
80,4
82,5
84,8
86,5
88,4
90,9
92,4
94,5
96,7
98,3
100,6
102,8
104,5
106,6
108,8
110,6
112,7
114,10
116,6
118,6
120,12
122,4
124,5
126,10
128,3
130,7
132,9
134,6
136,5
138,8
140,7
142,8
144,11
146,6
148,5
150,12
152,4
154,8
156,11
158,5
160,8
162,10
164,5
166,6
168,13
170,9
172,6
174,11
176,7
178,7
180,14
182,6
184,8
186,13
188,5
190,8
192,11
194,7
196,9
198,13
200,8
202,9
204,14
206,7
208,7
210,19
212,6
214,8
216,13
218,7
220,9
222,11
224,7
226,7
228,12
230,9
232,7
234,15
236,9
238,9
240,18
242,8
244,9
246,16
248,6
250,9
252,16
254,9
256,8
258,14
260,10
262,9
264,16
266,8
268,9
270,19
272,7
274,11
276,16
278,7
280,14
282,16
284,8
286,12
288,17
290,10
292,8
294,19
296,8
298,11
300,21
302,9
304,10
306,15
308,8
310,12
312,17
314,9
316,10
318,15
320,11
322,11
324,20
326,7
328,10
330,24
332,6
334,11
336,19
338,9
340,13
342,17
344,10
346,9
348,16
350,13
352,10
354,20
356,9
358,10
360,22
362,8
364,14
366,18
368,8
370,14
372,18
374,10
376,11
378,22
380,13
382,10
384,19
386,12
388,9
390,27
392,11
394,11
396,21
398,7
400,14
402,17
404,11
406,13
408,20
410,13
412,11
414,21
416,10
418,11
420,30
422,11
424,12
426,21
428,9
430,14
432,19
434,13
436,11
438,21
440,14
442,13
444,21
446,12
448,13
450,27
452,12
454,12
456,24
458,9
460,16
462,28
464,12
466,13
468,24
470,15
472,13
474,23
476,14
478,11
480,29
482,11
484,14
486,23
488,9
490,19
492,22
494,13
496,13
498,23
500,13
502,15
504,27
506,15
508,14
510,32
512,11
514,14
516,23
518,11
520,17
522,24
524,11
526,15
528,25
530,14
532,17
534,22
536,13
538,14
540,30
542,10
544,13
546,30
548,11
550,19
552,23
554,11
556,11
558,23
560,18
562,14
564,24
566,13
568,13
570,31
572,11
574,16
576,26
578,12
580,19
582,25
584,12
586,13
588,29
590,16
592,15
594,27
596,12
598,15
600,32
602,12
604,14
606,27
608,13
610,20
612,26
614,15
616,19
618,26
620,18
622,17
624,31
626,12
628,16
630,41
632,10
634,14
636,28
638,15
640,18
642,25
644,17
646,16
648,27
650,21
652,15
654,29
656,13
658,19
660,41
662,14
664,16
666,31
668,11
670,21
672,33
674,15
676,17
678,28
680,21
682,16
684,30
686,16
688,16
690,39
692,11
694,19
696,30
698,14
700,24
702,31
704,18
706,19
708,24
710,16
712,17
714,37
716,14
718,15
720,39
722,14
724,15
726,31
728,15
730,21
732,31
734,15
736,19
738,29
740,18
742,19
744,31
746,18
748,19
750,39
752,14
754,17
756,35
758,15
760,21
762,30
764,17
766,17
768,31
770,26
772,18
774,32
776,16
778,15
780,44
782,14
784,18
786,30
788,15
790,22
792,34
794,17
796,14
798,38
800,21
802,16
804,32
806,16
808,14
810,39
812,18
814,20
816,34
818,17
820,20
822,29
824,16
826,21
828,34
830,22
832,22
834,33
836,18
838,17
840,51
842,18
844,17
846,32
848,15
850,25
852,31
854,20
856,19
858,39
860,18
862,17
864,33
866,17
868,21
870,46
872,18
874,19
876,36
878,14
880,25
882,39
884,21
886,18
888,37
890,23
892,19
894,34
896,20
898,19
900,48
902,15
904,17
906,34
908,15
910,31
912,31
914,20
916,18
918,35
920,23
922,20
924,47
926,18
928,18
930,43
932,17
934,20
936,36
938,18
940,24
942,34
944,18
946,20
948,33
950,25
952,23
954,37
956,19
958,22
960,45
962,16
964,18
966,45
968,17
970,27
972,32
974,17
976,19
978,35
980,26
982,17
984,39
986,20
988,23
990,52
992,13
994,25
996,37
998,17
1000,28
