n,computation time (sec)
256,0.008
512,0.024
1024,0.069
2048,0.226
4096,0.058
8192,0.262
16384,1.123
32768,5.335
49152,19.347
53248,23.766
55296,26.906
56576,29.112
57216,29.845
57536,31.164
57856,31.134
60416,34.507
62976,39.344
65536,44.821
131072,245.86
262144,1211.95
524288,
